"공고번호","상태","HTML","문단","섹션","표후보","이미지","파싱컬럼","근거","경고","오류"
"E052600267","성공","72490","127","61","2","0","6","7","",""
"2026-06665","성공","69005","144","91","3","0","4","3","",""
"2026-06695","성공","69989","145","92","3","0","5","4","",""
"2026-06756","성공","88251","178","119","2","0","6","5","",""
"E012603961","성공","111717","181","75","0","0","7","6","",""
"2026-06766","성공","83887","204","115","3","0","4","3","",""
"R26BK01541680-000","성공","45839","109","52","0","0","4","3","",""
"R26BK01543262-000","성공","103137","171","77","1","0","5","4","",""
"R26BK01543632-000","성공","36688","76","64","0","0","3","2","",""
"R26BK01541710-000","성공","140276","341","86","10","0","4","3","",""
"R26BK01538129-001","성공","43404","85","59","0","0","6","5","",""
"R26BK01542507-000","성공","97339","135","112","0","0","3","2","",""
"R26BK01542535-000","성공","97332","135","112","0","0","3","2","",""
"R26BK01543534-000","성공","123528","222","99","2","0","5","4","",""
"2026-06706","성공","94260","225","107","1","0","4","3","",""
"2026-06675","성공","93960","226","108","1","0","4","3","",""
"2026-06734","성공","38235","77","70","0","0","4","3","",""
"2026-06725","성공","80862","176","115","1","0","5","4","",""
"E062600277","성공","44998","87","55","0","0","4","3","",""
"2026-06769","성공","40178","71","66","0","0","3","2","",""
"R26BK01543029-001","성공","47883","81","68","0","0","4","3","",""
"2026-06772","성공","78671","150","113","2","0","6","5","",""
"R26BK01541168-000","성공","198760","279","207","0","0","5","4","",""
"R26BK01527282-000","성공","9614","1","0","0","5","1","0","본문 텍스트 없음: 이미지 OCR 또는 사람 확인 필요",""
"2026-06640","성공","78845","151","113","2","0","6","5","",""
"R26BK01539768-000","성공","98259","187","65","7","0","6","5","",""
"R26BK01541795-000","성공","270400","760","94","49","0","4","3","",""
"R26BK01540892-000","성공","269962","761","94","49","0","4","3","",""
"R26BK01539713-000","성공","57993","88","70","0","0","7","6","",""
"R26BK01542230-000","성공","290501","756","136","49","0","5","4","",""
"R26BK01544273-000","성공","57895","119","45","1","0","4","3","",""
"R26BK01541845-000","성공","171198","420","104","12","0","4","3","",""
"R26BK01539896-000","성공","71011","130","87","0","0","6","5","",""
"R26BK01542313-000","성공","65747","137","52","1","0","5","4","",""
"R26BK01540780-000","성공","178629","379","156","20","0","5","5","",""
"R26BK01541172-000","성공","151775","313","81","12","0","5","4","",""
"R26BK01544151-000","성공","144393","279","135","17","0","8","7","",""
"R26BK01539229-000","성공","110311","276","64","8","0","5","4","",""
"R26BK01540966-000","성공","55703","103","50","0","0","4","3","",""
"R26BK01541164-000","성공","151784","313","81","12","0","5","4","",""
"R26BK01542496-000","성공","137020","277","88","9","0","7","6","",""
"R26BK01542023-000","성공","154301","306","103","10","0","4","3","",""
"R26BK01543582-000","성공","75621","138","49","2","0","3","2","",""
"R26BK01544282-000","성공","36945","57","48","1","0","5","4","",""
"R26BK01543894-000","성공","74182","142","64","1","0","3","2","",""
"R26BK01541768-000","성공","54783","93","49","0","0","6","5","",""
"R26BK01540580-000","성공","49612","108","40","0","0","7","6","",""
"R26BK01542096-000","성공","76879","88","63","0","0","5","6","",""
"R26BK01538591-000","성공","117094","238","106","8","0","4","3","",""
"R26BK01544276-000","성공","5542034","1","0","0","14","1","0","본문 텍스트 없음: 이미지 OCR 또는 사람 확인 필요",""
"R26BK01541404-000","성공","94782","244","53","8","0","4","3","",""
"R26BK01542109-000","성공","71237","96","30","2","0","10","9","",""
"R26BK01541956-001","성공","70861","96","30","2","0","8","7","",""
"R26BK01542080-001","성공","71138","96","30","2","0","8","7","",""
"R26BK01535085-000","성공","161562","423","136","17","0","6","5","",""
"R26BK01538707-000","성공","119460","270","84","10","0","5","4","",""
"R26BK01544026-000","성공","201826","446","165","14","0","3","2","",""
"R26BK01539677-000","성공","107386","284","40","20","0","4","3","",""
"R26BK01543297-000","성공","78877","149","62","1","0","5","4","",""
"R26BK01543245-000","성공","79080","149","62","1","0","5","4","",""
"R26BK01540238-000","성공","50567","81","30","0","0","5","4","",""
"R26BK01457605-000","성공","195911","393","166","12","0","3","2","",""
