id,종목,발주처,입찰방식,대분류,결과값,상위실적,검색키워드,제외키워드,메모
1,공고확인,공통,,공고확인,공고확인,,,,
2,공고확인,공통,,공고확인,기초금액발표전,,,,
7,공고확인,공통,,공고확인,실태조사,,,,
9,공고확인,공통,,공고확인,참가서류제출,,,,
10,공고확인,공통,,공고확인,해외공사,,,,
12,공고확인,공통,,심사방법,경영평가X,,,,
13,공고확인,공통,,심사방법,민간발주,,"민간발주
",,
14,공고확인,공통,,심사방법,실적평가X,,,,
15,공고확인,공통,,심사방법,유지보수-단가,,,,
16,공고확인,공통,,심사방법,적격심사확인,,,,
17,공고확인,공통,,심사방법,지역점수확인,,,,
19,공고확인,한국전력공사,,심사방법,고압-단가,,,,
20,공고확인,한국전력공사,,심사방법,배전공가,,,,
21,공고확인,한국전력공사,,심사방법,배전운영위탁,,,,
22,공고확인,한국전력공사,,심사방법,수급지점개폐기,,,,
23,공고확인,한국전력공사,,심사방법,수목전지,,,,
24,공고확인,한국전력공사,,심사방법,순시위탁,,,,
25,공고확인,한국전력공사,,심사방법,저압단가,,,,
26,공고확인,한국전력공사,,심사방법,저압-단가,,,,
27,공고확인,한국전력공사,,심사방법,지중단가,,,,
28,공고확인,한국전력공사,,심사방법,지중-단가,,,,
29,공고확인,한국철도공사,,철도신호,고속철도_연동장치,,,,
30,공고확인,한국철도공사,,철도신호,고속철도_자동신호,,,,
31,공고확인,한국철도공사,,철도신호,고속철도_종합신호,,,,
32,공고확인,한국철도공사,,철도신호,일반철도_연동장치,,,,
33,공고확인,한국철도공사,,철도신호,일반철도_자동신호,,,,
34,공고확인,한국철도공사,,철도신호,일반철도_종합신호,,,,
35,공고확인,행자부,,심사방법,유형-1,,,,
36,공고확인,행자부,,심사방법,유형-2,,,,
37,공고확인,행자부,,심사방법,재난복구공사,,,,
38,공고확인,행자부,,심사방법,유형-3,,,,
39,공고확인,공통,,심사방법,지명경쟁,,"지명경쟁
지명입찰",,
40,공고확인,공통,,심사방법,전자시담,,전자시담,,
