id,일시,구분,대상,내용,사용자,메모
32,2026-05-28 12:50,검수,신문서곡괭이,입찰일/A값/입찰방식/종목/지역제한 등 20개 초기 문서곡괭이 룰을 입력,local,조건판단형태 복수 타입 직접 입력 허용
31,2026-05-28 12:35,검수,신문서곡괭이,서버공고 표준 컬럼 129개 기준으로 새 문서곡괭이 룰/결과 검증 탭을 추가,local,강한 공고문 정규화는 제외
30,2026-05-28 12:05,검수,검수탭 코드정리,설정탭구조 화면유형 기준으로 검수탭을 정리하고 예전 문서곡괭이 룰/리포트/샘플 테스트 분기를 제거,local,문서곡괭이 뉴버전 준비
29,2026-05-28 11:40,검수,조건판단형태 가이드,키워드매칭방식을 단일 선택으로 정리하고 조건판단형태별 예시를 툴팁과 문서에 반영,local,문서곡괭이 검증은 미수정
28,2026-05-28 11:20,검수,조건판단형태 가이드,fallback범위를 제거하고 영향정책을 동작특성으로 정리했으며 설명용 컬럼은 표에서 숨김,local,보수적 파싱 기준 반영
27,2026-05-28 11:00,검수,조건판단형태 가이드,판단로직·함정주의·예시 사이 간격을 넓혀 카드 구분감을 높임,local,하단 카드 여백 조정
26,2026-05-28 10:50,검수,조건판단형태 가이드,정책토글 옆에 기능 설명을 붙이고 판단로직·함정주의·예시를 한 카드로 묶음,local,하단 카드 정리
25,2026-05-28 10:35,검수,조건판단형태 가이드,하단 카드의 영향정책 중복 표시를 제거하고 정책토글 값을 기준표에 저장되도록 연결,local,정책_공백무시/정책_단어경계/정책_제외검사
24,2026-05-28 10:15,검수,조건판단형태 가이드,정규화범위를 체크형 다중선택으로 변경해 문단/표/대섹션 조합을 직접 만들 수 있게 함,local,/ 구분 저장
23,2026-05-28 10:05,검수,조건판단형태 가이드,조건판단형태 범위 표를 카드형 가이드 위로 이동하고 표 편집 draft가 아래 카드에 즉시 반영되도록 연결,local,표-카드 동기화
22,2026-05-28 09:45,검수,조건판단형태 가이드,다중선택 팝업이 테이블 셀에 잘리지 않도록 레이어 표시 수정,local,overflow visible
21,2026-05-28 09:35,검수,조건판단형태 가이드,키워드매칭방식·우선섹션분류·영향정책을 체크형 다중선택으로 변경해 조합을 직접 만들 수 있게 함,local,/ 구분 저장
20,2026-05-28 09:20,검수,조건판단형태 가이드,조건판단형태 범위 표를 저장 가능한 기준표로 바꾸고 선택 컬럼 드롭다운과 컬럼 툴팁 적용,local,출력/범위/매칭방식/정책 목록화
19,2026-05-28 09:05,검수,조건판단형태 가이드,기존 카드형 가이드 아래에 조건판단형태 범위 비교 표 추가,local,카드형 유지
18,2026-05-28 08:40,검수,조건판단형태 가이드,정규화범위·키워드매칭방식·제외검사범위·근거저장단위 컬럼을 추가해 조건판단형태별 파싱 범위 매트릭스 확장,local,키워드일치/포함/앞뒤와일드카드
17,2026-05-28 08:26,검수,섹션설정,섹션설정 저장 (15행),local,설정 화면 저장
16,2026-05-28 01:45,검수,조건판단형태 가이드,6_1 이름을 표파싱으로 변경하고 가로형/세로형 자동판정 설명으로 문서 갱신,local,6_2 세로표는 만들지 않음
15,2026-05-28 01:35,검수,공고문 정규화 검증,정규화 검증 탭들의 내부 순번 컬럼을 화면에서 숨김,local,판단에 필요한 컬럼만 표시
14,2026-05-28 01:25,검수,섹션설정,108건 공고문 분석 결과로 하도급·안전보건·입찰무효 등 섹션분류 룰 보강 및 대섹션 컬럼 추가,local,section_batch_analysis_2026-05-28.json
13,2026-05-28 01:05,검수,공고문 정규화 가이드,검수 메뉴를 공고문 파싱 가이드/공고문 정규화 가이드로 나누고 섹션설정 탭 추가,local,섹션분류_룰.csv
12,2026-05-28 00:50,설정,공통 표,열 너비 조절값을 표별 마지막값으로 유지하도록 공통 DataTable 저장 로직 추가,local,세션 캐시 + localStorage
11,2026-05-28 00:40,검수,공고문 정규화 검증,단건 공고번호 입력 중심으로 정리하고 목록 결과를 요약 탭으로 변경,local,단건 정밀 검증 UI
8,2026-05-28 00:25,검수,공고문 정규화 검증,A3 HTML 줄/문단/번호/표 후보 정규화 검증 화면 추가,local,문서곡괭이 정규화
9,2026-05-28 00:25,마스터데이터,종목묶기규칙,종목/단독평가종목/종목세부JSON 묶기 규칙 예시 탭 추가,local,종목매핑 하위 탭
10,2026-05-28 00:25,검수,문서곡괭이 룰,parserRules 엑셀 운영표 기준으로 문서곡괭이_룰.csv 갱신,local,46행
7,2026-05-27 23:05,검수,조건판단형태 가이드,홈페이지 기준 15종 카드형 가이드 구현,local,문서곡괭이 가이드 연결
6,2026-05-27 22:45,설정,공통 표,id/ID 화면 숨김 및 2줄 셀 높이 보정,local,표 가독성 개선
5,2026-05-27 22:30,마스터데이터,종목매핑,상호진출_상대종목 콤마 구분 통일 및 상단 편집 패널 제거,local,표 컬럼 직접 관리
4,2026-05-27 22:06,마스터데이터,특수실적,PQ 13건을 발주처에서 입찰방식으로 이동,local,데이터 보정
3,2026-05-27 22:21,분류규칙,삭제키워드,삭제키워드 저장 (10행),local,설정 화면 저장
2,2026-05-27 22:20,분류규칙,삭제키워드,삭제키워드 저장 (10행),local,설정 화면 저장
1,2026-05-27 20:14,대쉬보드,변경로그,대쉬보드 최근 변경 로그 연결,local,우측 상단 검수 배지 제거
