id,구분,상황,입력,조건,종목,단독평가종목,종목세부JSON,메모
1,단일,일반건설 단일 종목,건축,상위종목 토건 자동추가,건축/토건,건축,"[""건축""]",토건은 단독평가종목에 넣지 않음
2,단일,기타건설 소방 단일,기계소방,상위종목 전문소방 자동추가,기계소방/전문소방,기계소방/전문소방,"[""기계소방"",""전문소방""]",전문소방은 평가대상으로 보존
3,복합,일반+일반,건축/토목,종목모두보유=1 또는 공동/분담,"(건축,토목)/토건","(건축,토목)","[""건축"",""토목""]",둘 다 보유 또는 토건 하나
4,복합,"전문 주력 두 개, 각각 참여가능",포장/토공,종목모두보유=0,지반조성포장,지반조성포장_포장/지반조성포장_토공,"[""지반조성포장_포장"",""지반조성포장_토공""]",평가기준금액은 각각 같은 금액
5,복합,전문 주력 두 개 모두보유,포장/토공,종목모두보유=1,지반조성포장,"(지반조성포장_포장,지반조성포장_토공)","[""지반조성포장_포장"",""지반조성포장_토공""]",괄호는 모두 보유
6,상호진출,종합공사에 전문 참여,건축/실내건축,"상호진출=1, 일반 주공종",건축/토건/실내건축,건축/실내건축_건축,"[""건축"",""실내건축_건축""]",전문파트는 일반 주공종 접미
7,상호진출,전문공사에 일반 참여,토공/토목,"상호진출=1, 전문 주공종",지반조성포장/토목/토건,지반조성포장_토공/토목_지반조성포장_토공,"[""지반조성포장_토공"",""토목_지반조성포장_토공""]",토건은 단독평가종목에 없음
8,빈값,종목조건없음,종목조건없음,원본 업종조건없음 포함,,,[],빈값 반환
9,검증,중복 옵션 검증,"전기/전기, (a,b)/(a,b)",중복 옵션,알림,알림,[],"(a,b)/(a,c)는 다른 옵션이므로 순서대로 전개"
10,JSON,종목세부JSON 평탄화,"a/(b,c)/d",구분자 없이 순서대로 전개,"a/(b,c)/d","a/(b,c)/d","[""a"",""b"",""c"",""d""]",금액은 순서대로 매핑
